,video,cam,start,end,question,answer,a1,a2,a3,a4,a5,label
552,8,X,987,1000,what is hold by the man in gray clothes,bottle,bottle,can,shelf,bike,chair,0
553,8,X,1087,1092,what is the man in gray clothes holding,bottle,monitor,toy,camera,bottle,monitor and computer,3
554,8,X,1627,1639,what is hold by me in hands,snack,picture,snack,black pillows,shelf,phone,1
555,8,X,1729,1740,what am I passing to another person,snack,chair,laptop,snack,monitor,shelf,2
556,8,X,4000,4012,what am I holding in hands,phone,chair,monitor,phone,pen,shelf,2
557,8,X,4038,4054,what am I doing,use phone,use phone,open bottle,open snack,type on keyboard,stand,0
558,8,X,4059,4066,what is the man in blue clothes holding,phone,door,machine,black pillows,phone,can,3
559,8,X,90,98,what am I holding in hands,snack,snack,machine,door,monitor,desk,0
560,8,X,168,173,how many people can I see in the scene,four,zero,one,two,three,four,4
561,8,X,338,352,who is entering the room through door,the man in gray clothes,two man standing in front of me,the man in gray clothes,a man in dark blue clothes,the man on my left side,a man in dark clothes,1
562,8,X,697,701,who is sitting in front of the door,the man in gray clothes,the man in clothes clothes,the man in white clothes,the man in front of whiteboard,the man in gray clothes,a man in blue,3
563,8,X,799,810,who is going out of the room through door,the man in dark blue clothes,the man in brown clothes,the man in red shirt,a man in blue,the man in clothes clothes,the man in dark blue clothes,4
564,8,X,903,908,how many people can I see in the scene,four,zero,one,two,three,four,4
565,8,X,1125,1130,what is the man in front of me holding in hands,bottle,shelf,machine,box,camera,bottle,4
566,8,X,1711,1728,what am I doing,have snack,open bottle,eat salad,open snack bag,eat snack,have snack,4
567,8,X,1797,1807,who is holding snack bag,the man in gray clothes,the man in front of the door,the man in red clothes,a man in dark blue clothes,the man in gray clothes,the man in brown clothes,3
568,8,X,2672,2684,what is the man doing in front of me,drink,throw pillows,look at the whiteboard,drink,eat salad,look at phone,2
569,8,X,3912,3918,what is on the desk behind the man in gray clothes,monitor,chair,print machine,desk,machine,monitor,4
570,8,X,3985,3990,what am I holding in hands,phone,monitor,shelf,phone,picture on the wall,box,2
571,8,X,4459,4478,what is the man doing in front of me,drink,eat,eat salad,sit down,look at phone,drink,4
572,8,X,63,71,what is the man in gray clothes doing,drink,erase whiteboard,point to a camera,erase the whiteboard,drink,open snack bag,3
573,8,X,195,201,what is on the desk on the right side of the man in blue clothes,monitor and computer,chair,desk,snack,monitor and computer,tv,3
574,8,X,746,758,what is the man in black clothes doing,stand up,stand up,draw,erase the whiteboard,type on computer,pass pillows,0
575,8,X,1695,1710,what is mounted on the wall on right side of the man in blue clothes,tv,tv,whiteboard,monitor and computer,picture,picture on the wall,0
576,8,X,2249,2253,how many people can I see in the scene,four,zero,one,two,three,four,4
577,8,X,4382,4393,what is the man doing in front of me,sit down,get a box from shelf,get can on desk,play phone,sit,sit down,4
578,8,X,4394,4402,what is the man doing in front of me,drink,drink,play toy,pass book,sit,put laptop on desk,0
579,8,X,4460,4478,what is the man in front of me holding in hands,cup,phone,monitor and computer,cup,shelf,white pillows,2
580,8,X,125,135,how many people can I see in the scene,four,zero,one,two,three,four,4
581,9,X,37,60,what am I doing,shake hands,read book,throw pillows,stand,shake hands,walk,3
582,9,X,36,64,what is the man in red clothes doing to me,shake hands,play toy,walk to the desk,put can on desk,shake hands,type on keyboard,3
583,9,X,60,88,what am I doing,shake hands,use phone,shake hands,walk,have snack,sit down,1
584,9,X,60,88,what is the man in black clothes doing to me,shake hands,shake hands,erase the whiteboard,sit down,get can,have snack,0
585,9,X,96,110,how many people can I see in the scene,two,zero,one,two,three,four,2
586,9,X,151,179,what is the man in red clothes doing,sit down,sit down,look at the whiteboard,stand,put can on desk,look at phone,0
587,9,X,88,139,what is the man in red clothes doing,read book,read book,play toy,stand up,walk to the door,look at the whiteboard,0
588,9,X,100,120,what is hold by the man in black clothes,book,monitor,book,monitor and computer,picture on the wall,tv,1
589,9,X,575,599,what is hold by the man in red clothes,white pillows,bike,can,phone,white pillows,toy,3
590,9,X,644,666,what are we doing,throw pillows,throw pillows,turn on computer,drink,play toy,walk,0
591,9,X,746,780,what are we doing,pass pillows,throw toy to another man,pass pillows,eat snack,open snack,walk,1
592,9,X,860,878,what are we doing,pass book,eat,pass pillows,sit,pass book,put laptop on desk,3
593,9,X,833,849,what are on the sofa behind the man in red clothes,pillows,pillows,camera,apple,book,box,0
594,9,X,861,934,what is the object we are passing,book,book,phone,chair,picture,snack,0
595,9,F,45,65,what are the two men doing in front of me,shake hands,play phone,open bottle,look at phone,pass pillows,shake hands,4
596,9,F,69,83,what is the man in red clothes holding,white pillows,whiteboard,white pillows,monitor and computer,chair,monitor,1
597,9,F,66,84,what am I doing,shake hands,point on whiteboard,turn on computer,shake hands,open snack,draw on whiteboard,2
598,9,F,177,185,what is on the wall near the door,picture,tv,print machine,picture,pillows,computer,2
599,9,F,177,185,what is on the wall behind the man in red clothes,picture,picture,chair,box,computer,shelf,0
600,9,F,260,278,what is the man in red clothes holding,white pillows,whiteboard,phone,cup,computer,white pillows,4
601,9,F,370,385,what is the man in black clothes doing,drink,drink,use phone,pass book,throw pillows,draw on whiteboard,0
602,9,F,441,452,what am I holding in hands,black pillows,whiteboard,door,black pillows,machine,book,2
603,9,F,560,571,what is on the wall behind the man in black clothes,tv,snack,pen,tv,black pillows,picture on the wall,2
604,9,F,642,652,what is the man in red clothes doing,throw pillows,stand up,close the door,pass pillows,throw pillows,pick up the toy,3
605,9,F,653,659,what am I doing,throw pillows,put can on desk,play toy,type on computer,close the door,throw pillows,4
606,9,F,659,675,what are we doing,throw pillows,get snack,throw pillows,turn on computer,sit,open can,1
607,9,F,760,781,what are we passing,white pillows,whiteboard,black pillows,phone,white pillows,tv,3
608,9,F,864,880,what are we passing,book,apple,book,machine,box,can,1
609,9,F,883,912,what is the man in black clothes doing,read book,eat salad,walk,throw pillows,read book,get snack,3
